Date,Regime_ID,Regime_Label
2012-12-31,0,Sideways
2013-01-07,1,Bear
2013-01-14,2,Bull
2013-01-21,2,Bull
2013-01-28,2,Bull
2013-02-04,1,Bear
2013-02-11,2,Bull
2013-02-18,0,Sideways
2013-02-25,1,Bear
2013-03-04,2,Bull
2013-03-11,0,Sideways
2013-03-18,1,Bear
2013-03-25,2,Bull
2013-04-01,1,Bear
2013-04-08,2,Bull
2013-04-15,2,Bull
2013-04-22,2,Bull
2013-04-29,1,Bear
2013-05-06,2,Bull
2013-05-13,0,Sideways
2013-05-20,1,Bear
2013-05-27,1,Bear
2013-06-03,1,Bear
2013-06-10,1,Bear
2013-06-17,1,Bear
2013-06-24,2,Bull
2013-07-01,1,Bear
2013-07-08,2,Bull
2013-07-15,2,Bull
2013-07-22,1,Bear
2013-07-29,1,Bear
2013-08-05,2,Bull
2013-08-12,0,Sideways
2013-08-19,1,Bear
2013-08-26,1,Bear
2013-09-02,2,Bull
2013-09-09,2,Bull
2013-09-16,2,Bull
2013-09-23,1,Bear
2013-09-30,2,Bull
2013-10-07,2,Bull
2013-10-14,2,Bull
2013-10-21,0,Sideways
2013-10-28,0,Sideways
2013-11-04,2,Bull
2013-11-11,2,Bull
2013-11-18,1,Bear
2013-11-25,2,Bull
2013-12-02,2,Bull
2013-12-09,1,Bear
2013-12-16,0,Sideways
2013-12-23,1,Bear
2013-12-30,1,Bear
2014-01-06,2,Bull
2014-01-13,2,Bull
2014-01-20,2,Bull
2014-01-27,0,Sideways
2014-02-03,2,Bull
2014-02-10,0,Sideways
2014-02-17,1,Bear
2014-02-24,2,Bull
2014-03-03,2,Bull
2014-03-10,2,Bull
2014-03-17,1,Bear
2014-03-24,2,Bull
2014-03-31,0,Sideways
2014-04-07,1,Bear
2014-04-14,0,Sideways
2014-04-21,0,Sideways
2014-04-28,0,Sideways
2014-05-05,1,Bear
2014-05-12,2,Bull
2014-05-19,1,Bear
2014-05-26,2,Bull
2014-06-02,2,Bull
2014-06-09,1,Bear
2014-06-16,0,Sideways
2014-06-23,0,Sideways
2014-06-30,0,Sideways
2014-07-07,0,Sideways
2014-07-14,0,Sideways
2014-07-21,0,Sideways
2014-07-28,1,Bear
2014-08-04,0,Sideways
2014-08-11,0,Sideways
2014-08-18,0,Sideways
2014-08-25,0,Sideways
2014-09-01,0,Sideways
2014-09-08,1,Bear
2014-09-15,0,Sideways
2014-09-22,0,Sideways
2014-09-29,0,Sideways
2014-10-06,0,Sideways
2014-10-13,1,Bear
2014-10-20,1,Bear
2014-10-27,2,Bull
2014-11-03,1,Bear
2014-11-10,1,Bear
2014-11-17,0,Sideways
2014-11-24,0,Sideways
2014-12-01,1,Bear
2014-12-08,1,Bear
2014-12-15,2,Bull
2014-12-22,1,Bear
2014-12-29,1,Bear
2015-01-05,2,Bull
2015-01-12,2,Bull
2015-01-19,2,Bull
2015-01-26,1,Bear
2015-02-02,2,Bull
2015-02-09,1,Bear
2015-02-16,1,Bear
2015-02-23,0,Sideways
2015-03-02,0,Sideways
2015-03-09,1,Bear
2015-03-16,1,Bear
2015-03-23,0,Sideways
2015-03-30,2,Bull
2015-04-06,0,Sideways
2015-04-13,0,Sideways
2015-04-20,1,Bear
2015-04-27,0,Sideways
2015-05-04,1,Bear
2015-05-11,1,Bear
2015-05-18,0,Sideways
2015-05-25,0,Sideways
2015-06-01,0,Sideways
2015-06-08,0,Sideways
2015-06-15,1,Bear
2015-06-22,0,Sideways
2015-06-29,1,Bear
2015-07-06,1,Bear
2015-07-13,0,Sideways
2015-07-20,0,Sideways
2015-07-27,1,Bear
2015-08-03,1,Bear
2015-08-10,0,Sideways
2015-08-17,1,Bear
2015-08-24,2,Bull
2015-08-31,2,Bull
2015-09-07,2,Bull
2015-09-14,0,Sideways
2015-09-21,1,Bear
2015-09-28,1,Bear
2015-10-05,2,Bull
2015-10-12,0,Sideways
2015-10-19,1,Bear
2015-10-26,0,Sideways
2015-11-02,0,Sideways
2015-11-09,0,Sideways
2015-11-16,0,Sideways
2015-11-23,0,Sideways
2015-11-30,1,Bear
2015-12-07,1,Bear
2015-12-14,2,Bull
2015-12-21,0,Sideways
2015-12-28,0,Sideways
2016-01-04,1,Bear
2016-01-11,2,Bull
2016-01-18,2,Bull
2016-01-25,2,Bull
2016-02-01,1,Bear
2016-02-08,1,Bear
2016-02-15,2,Bull
2016-02-22,2,Bull
2016-02-29,2,Bull
2016-03-07,0,Sideways
2016-03-14,1,Bear
2016-03-21,2,Bull
2016-03-28,2,Bull
2016-04-04,0,Sideways
2016-04-11,0,Sideways
2016-04-18,2,Bull
2016-04-25,1,Bear
2016-05-02,1,Bear
2016-05-09,0,Sideways
2016-05-16,1,Bear
2016-05-23,2,Bull
2016-05-30,0,Sideways
2016-06-06,1,Bear
2016-06-13,0,Sideways
2016-06-20,1,Bear
2016-06-27,2,Bull
2016-07-04,0,Sideways
2016-07-11,0,Sideways
2016-07-18,0,Sideways
2016-07-25,0,Sideways
2016-08-01,0,Sideways
2016-08-08,0,Sideways
2016-08-15,0,Sideways
2016-08-22,0,Sideways
2016-08-29,0,Sideways
2016-09-05,1,Bear
2016-09-12,2,Bull
2016-09-19,2,Bull
2016-09-26,0,Sideways
2016-10-03,0,Sideways
2016-10-10,2,Bull
2016-10-17,2,Bull
2016-10-24,1,Bear
2016-10-31,1,Bear
2016-11-07,2,Bull
2016-11-14,1,Bear
2016-11-21,0,Sideways
2016-11-28,0,Sideways
2016-12-05,0,Sideways
2016-12-12,1,Bear
2016-12-19,1,Bear
2016-12-26,2,Bull
2017-01-02,0,Sideways
2017-01-09,0,Sideways
2017-01-16,1,Bear
2017-01-23,0,Sideways
2017-01-30,1,Bear
2017-02-06,0,Sideways
2017-02-13,1,Bear
2017-02-20,1,Bear
2017-02-27,0,Sideways
2017-03-06,0,Sideways
2017-03-13,0,Sideways
2017-03-20,0,Sideways
2017-03-27,0,Sideways
2017-04-03,0,Sideways
2017-04-10,0,Sideways
2017-04-17,1,Bear
2017-04-24,1,Bear
2017-05-01,0,Sideways
2017-05-08,0,Sideways
2017-05-15,0,Sideways
2017-05-22,0,Sideways
2017-05-29,1,Bear
2017-06-05,1,Bear
2017-06-12,0,Sideways
2017-06-19,0,Sideways
2017-06-26,1,Bear
2017-07-03,1,Bear
2017-07-10,0,Sideways
2017-07-17,1,Bear
2017-07-24,0,Sideways
2017-07-31,1,Bear
2017-08-07,1,Bear
2017-08-14,0,Sideways
2017-08-21,0,Sideways
2017-08-28,2,Bull
2017-09-04,0,Sideways
2017-09-11,0,Sideways
2017-09-18,0,Sideways
2017-09-25,0,Sideways
2017-10-02,0,Sideways
2017-10-09,0,Sideways
2017-10-16,1,Bear
2017-10-23,0,Sideways
2017-10-30,1,Bear
2017-11-06,1,Bear
2017-11-13,0,Sideways
2017-11-20,1,Bear
2017-11-27,0,Sideways
2017-12-04,0,Sideways
2017-12-11,0,Sideways
2017-12-18,0,Sideways
2017-12-25,0,Sideways
2018-01-01,2,Bull
2018-01-08,0,Sideways
2018-01-15,0,Sideways
2018-01-22,0,Sideways
2018-01-29,1,Bear
2018-02-05,1,Bear
2018-02-12,0,Sideways
2018-02-19,1,Bear
2018-02-26,2,Bull
2018-03-05,0,Sideways
2018-03-12,0,Sideways
2018-03-19,1,Bear
2018-03-26,1,Bear
2018-04-02,1,Bear
2018-04-09,2,Bull
2018-04-16,2,Bull
2018-04-23,1,Bear
2018-04-30,0,Sideways
2018-05-07,0,Sideways
2018-05-14,1,Bear
2018-05-21,1,Bear
2018-05-28,1,Bear
2018-06-04,0,Sideways
2018-06-11,1,Bear
2018-06-18,1,Bear
2018-06-25,1,Bear
2018-07-02,2,Bull
2018-07-09,2,Bull
2018-07-16,2,Bull
2018-07-23,0,Sideways
2018-07-30,0,Sideways
2018-08-06,1,Bear
2018-08-13,1,Bear
2018-08-20,0,Sideways
2018-08-27,0,Sideways
2018-09-03,0,Sideways
2018-09-10,2,Bull
2018-09-17,2,Bull
2018-09-24,0,Sideways
2018-10-01,0,Sideways
2018-10-08,1,Bear
2018-10-15,1,Bear
2018-10-22,1,Bear
2018-10-29,2,Bull
2018-11-05,0,Sideways
2018-11-12,0,Sideways
2018-11-19,1,Bear
2018-11-26,0,Sideways
2018-12-03,0,Sideways
2018-12-10,0,Sideways
2018-12-17,1,Bear
2018-12-24,1,Bear
2018-12-31,0,Sideways
2019-01-07,0,Sideways
2019-01-14,1,Bear
2019-01-21,2,Bull
2019-01-28,2,Bull
2019-02-04,1,Bear
2019-02-11,0,Sideways
2019-02-18,0,Sideways
2019-02-25,1,Bear
2019-03-04,1,Bear
2019-03-11,0,Sideways
2019-03-18,0,Sideways
2019-03-25,0,Sideways
2019-04-01,0,Sideways
2019-04-08,0,Sideways
2019-04-15,0,Sideways
2019-04-22,1,Bear
2019-04-29,0,Sideways
2019-05-06,1,Bear
2019-05-13,0,Sideways
2019-05-20,0,Sideways
2019-05-27,0,Sideways
2019-06-03,0,Sideways
2019-06-10,0,Sideways
2019-06-17,2,Bull
2019-06-24,0,Sideways
2019-07-01,1,Bear
2019-07-08,0,Sideways
2019-07-15,1,Bear
2019-07-22,1,Bear
2019-07-29,0,Sideways
2019-08-05,1,Bear
2019-08-12,0,Sideways
2019-08-19,0,Sideways
2019-08-26,2,Bull
2019-09-02,2,Bull
2019-09-09,1,Bear
2019-09-16,0,Sideways
2019-09-23,0,Sideways
2019-09-30,0,Sideways
2019-10-07,0,Sideways
2019-10-14,0,Sideways
2019-10-21,0,Sideways
2019-10-28,0,Sideways
2019-11-04,2,Bull
2019-11-11,0,Sideways
2019-11-18,1,Bear
2019-11-25,1,Bear
2019-12-02,0,Sideways
2019-12-09,0,Sideways
2019-12-16,1,Bear
2019-12-23,0,Sideways
2019-12-30,0,Sideways
2020-01-06,1,Bear
2020-01-13,0,Sideways
2020-01-20,0,Sideways
2020-01-27,0,Sideways
2020-02-03,2,Bull
2020-02-10,1,Bear
2020-02-17,0,Sideways
2020-02-24,1,Bear
2020-03-02,2,Bull
2020-03-09,1,Bear
2020-03-16,2,Bull
2020-03-23,2,Bull
2020-03-30,2,Bull
2020-04-06,2,Bull
2020-04-13,2,Bull
2020-04-20,2,Bull
2020-04-27,2,Bull
2020-05-04,0,Sideways
2020-05-11,2,Bull
2020-05-18,2,Bull
2020-05-25,2,Bull
2020-06-01,2,Bull
2020-06-08,1,Bear
2020-06-15,1,Bear
2020-06-22,1,Bear
2020-06-29,2,Bull
2020-07-06,0,Sideways
2020-07-13,1,Bear
2020-07-20,2,Bull
2020-07-27,0,Sideways
2020-08-03,2,Bull
2020-08-10,2,Bull
2020-08-17,0,Sideways
2020-08-24,2,Bull
2020-08-31,1,Bear
2020-09-07,0,Sideways
2020-09-14,0,Sideways
2020-09-21,1,Bear
2020-09-28,2,Bull
2020-10-05,2,Bull
2020-10-12,1,Bear
2020-10-19,1,Bear
2020-10-26,1,Bear
2020-11-02,2,Bull
2020-11-09,2,Bull
2020-11-16,2,Bull
2020-11-23,2,Bull
2020-11-30,2,Bull
2020-12-07,2,Bull
2020-12-14,1,Bear
2020-12-21,2,Bull
2020-12-28,1,Bear
2021-01-04,2,Bull
2021-01-11,2,Bull
2021-01-18,2,Bull
2021-01-25,1,Bear
2021-02-01,2,Bull
2021-02-08,0,Sideways
2021-02-15,1,Bear
2021-02-22,1,Bear
2021-03-01,2,Bull
2021-03-08,2,Bull
2021-03-15,1,Bear
2021-03-22,0,Sideways
2021-03-29,0,Sideways
2021-04-05,0,Sideways
2021-04-12,1,Bear
2021-04-19,2,Bull
2021-04-26,2,Bull
2021-05-03,1,Bear
2021-05-10,1,Bear
2021-05-17,2,Bull
2021-05-24,2,Bull
2021-05-31,2,Bull
2021-06-07,0,Sideways
2021-06-14,0,Sideways
2021-06-21,1,Bear
2021-06-28,2,Bull
2021-07-05,1,Bear
2021-07-12,2,Bull
2021-07-19,1,Bear
2021-07-26,1,Bear
2021-08-02,2,Bull
2021-08-09,2,Bull
2021-08-16,2,Bull
2021-08-23,2,Bull
2021-08-30,2,Bull
2021-09-06,1,Bear
2021-09-13,1,Bear
2021-09-20,2,Bull
2021-09-27,0,Sideways
2021-10-04,0,Sideways
2021-10-11,1,Bear
2021-10-18,0,Sideways
2021-10-25,1,Bear
2021-11-01,1,Bear
2021-11-08,0,Sideways
2021-11-15,0,Sideways
2021-11-22,1,Bear
2021-11-29,1,Bear
2021-12-06,0,Sideways
2021-12-13,0,Sideways
2021-12-20,0,Sideways
2021-12-27,0,Sideways
2022-01-03,0,Sideways
2022-01-10,0,Sideways
2022-01-17,1,Bear
2022-01-24,1,Bear
2022-01-31,0,Sideways
2022-02-07,2,Bull
2022-02-14,2,Bull
2022-02-21,0,Sideways
2022-02-28,0,Sideways
2022-03-07,1,Bear
2022-03-14,2,Bull
2022-03-21,1,Bear
2022-03-28,0,Sideways
2022-04-04,1,Bear
2022-04-11,1,Bear
2022-04-18,0,Sideways
2022-04-25,1,Bear
2022-05-02,0,Sideways
2022-05-09,0,Sideways
2022-05-16,0,Sideways
2022-05-23,0,Sideways
2022-05-30,0,Sideways
2022-06-06,1,Bear
2022-06-13,1,Bear
2022-06-20,0,Sideways
2022-06-27,0,Sideways
2022-07-04,0,Sideways
2022-07-11,0,Sideways
2022-07-18,0,Sideways
2022-07-25,0,Sideways
2022-08-01,0,Sideways
2022-08-08,0,Sideways
2022-08-15,0,Sideways
2022-08-22,2,Bull
2022-08-29,2,Bull
2022-09-05,2,Bull
2022-09-12,1,Bear
2022-09-19,0,Sideways
2022-09-26,0,Sideways
2022-10-03,1,Bear
2022-10-10,1,Bear
2022-10-17,2,Bull
2022-10-24,0,Sideways
2022-10-31,0,Sideways
2022-11-07,1,Bear
2022-11-14,1,Bear
2022-11-21,0,Sideways
2022-11-28,0,Sideways
2022-12-05,1,Bear
2022-12-12,1,Bear
2022-12-19,1,Bear
2022-12-26,2,Bull
